"","V1","V2","V3","Rsqure","V5","V6","formula","period"
"22","a9888","SR888","v9888","0.701525757208088","-0.295928051480149","0.217794081661506","index.data$a9888* (-1)+index.data$SR888*(-0.295928051480149)+index.data$v9888*(0.217794081661506)","20140101T20151231"
"54","m9888","c9888","v9888","0.701209300665343","-0.406891392281563","0.749768199673215","index.data$m9888* (-1)+index.data$c9888*(-0.406891392281563)+index.data$v9888*(0.749768199673215)","20140101T20151231"
"58","m9888","SR888","v9888","0.69980581853625","-0.203723395720008","0.536578765850254","index.data$m9888* (-1)+index.data$SR888*(-0.203723395720008)+index.data$v9888*(0.536578765850254)","20140101T20151231"
"37","y9888","c9888","l9888","0.695854890450554","-0.510060702137627","0.419928730964429","index.data$y9888* (-1)+index.data$c9888*(-0.510060702137627)+index.data$l9888*(0.419928730964429)","20140101T20151231"
"14","a9888","c9888","SR888","0.681857760923153","0.417059458787056","-0.35993846924363","index.data$a9888* (-1)+index.data$c9888*(0.417059458787056)+index.data$SR888*(-0.35993846924363)","20140101T20151231"
"48","y9888","l9888","v9888","0.679028601143587","0.258949810769412","0.292022827402217","index.data$y9888* (-1)+index.data$l9888*(0.258949810769412)+index.data$v9888*(0.292022827402217)","20140101T20151231"
"41","y9888","SR888","l9888","0.677369752120799","-0.156934306954141","0.342771662962783","index.data$y9888* (-1)+index.data$SR888*(-0.156934306954141)+index.data$l9888*(0.342771662962783)","20140101T20151231"
"20","a9888","SR888","l9888","0.662468450236754","-0.349998850011888","0.0701145703593739","index.data$a9888* (-1)+index.data$SR888*(-0.349998850011888)+index.data$l9888*(0.0701145703593739)","20140101T20151231"
"43","y9888","SR888","v9888","0.630438385004845","-0.0706147400464593","0.833372498481503","index.data$y9888* (-1)+index.data$SR888*(-0.0706147400464593)+index.data$v9888*(0.833372498481503)","20140101T20151231"
"9","a9888","m9888","SR888","0.619040927802939","0.169608553613148","-0.35892693796122","index.data$a9888* (-1)+index.data$m9888*(0.169608553613148)+index.data$SR888*(-0.35892693796122)","20140101T20151231"
"21","a9888","SR888","p9888","0.614724347442773","-0.373013646113774","0.10345291343245","index.data$a9888* (-1)+index.data$SR888*(-0.373013646113774)+index.data$p9888*(0.10345291343245)","20140101T20151231"
"19","a9888","SR888","TA888","0.613636724234354","-0.360839418848283","0.0656486829912007","index.data$a9888* (-1)+index.data$SR888*(-0.360839418848283)+index.data$TA888*(0.0656486829912007)","20140101T20151231"
"18","a9888","c9888","v9888","0.59381320552302","0.298191671646063","0.277052210047155","index.data$a9888* (-1)+index.data$c9888*(0.298191671646063)+index.data$v9888*(0.277052210047155)","20140101T20151231"
"3","a9888","y9888","SR888","0.592558596271289","0.0687713617158272","-0.414550586272641","index.data$a9888* (-1)+index.data$y9888*(0.0687713617158272)+index.data$SR888*(-0.414550586272641)","20140101T20151231"
"15","a9888","c9888","TA888","0.584084508136204","0.513681135279992","0.116259072122733","index.data$a9888* (-1)+index.data$c9888*(0.513681135279992)+index.data$TA888*(0.116259072122733)","20140101T20151231"
"8","a9888","m9888","c9888","0.58104660367477","0.285302107268552","0.511255502773118","index.data$a9888* (-1)+index.data$m9888*(0.285302107268552)+index.data$c9888*(0.511255502773118)","20140101T20151231"
"7","a9888","y9888","v9888","0.574070376221197","-0.101871511293548","0.449405045169037","index.data$a9888* (-1)+index.data$y9888*(-0.101871511293548)+index.data$v9888*(0.449405045169037)","20140101T20151231"
"27","a9888","l9888","v9888","0.560864924180044","-0.0409916878367359","0.452132260894855","index.data$a9888* (-1)+index.data$l9888*(-0.0409916878367359)+index.data$v9888*(0.452132260894855)","20140101T20151231"
"13","a9888","m9888","v9888","0.557394585104322","0.059301643441826","0.32335894106352","index.data$a9888* (-1)+index.data$m9888*(0.059301643441826)+index.data$v9888*(0.32335894106352)","20140101T20151231"
"28","a9888","p9888","v9888","0.556959696982323","-0.0403739930295177","0.401300729083398","index.data$a9888* (-1)+index.data$p9888*(-0.0403739930295177)+index.data$v9888*(0.401300729083398)","20140101T20151231"
