"","V1","V2","Rsqure","V4","formula","period"
"18","m9888","TA888","0.640077323739209","0.224469094894118","index.data$m9888* (-1)+index.data$TA888*(0.224469094894118)","20130101T20151231"
"20","m9888","p9888","0.627654308056123","0.442871797296806","index.data$m9888* (-1)+index.data$p9888*(0.442871797296806)","20130101T20151231"
"34","l9888","p9888","0.608324447381136","1.29630945434623","index.data$l9888* (-1)+index.data$p9888*(1.29630945434623)","20130101T20151231"
"5","a9888","TA888","0.601586596840282","0.153936264385332","index.data$a9888* (-1)+index.data$TA888*(0.153936264385332)","20130101T20151231"
"9","y9888","m9888","0.568287471769763","1.79903976579272","index.data$y9888* (-1)+index.data$m9888*(1.79903976579272)","20130101T20151231"
"7","a9888","p9888","0.552599793518366","0.293950808819181","index.data$a9888* (-1)+index.data$p9888*(0.293950808819181)","20130101T20151231"
"1","a9888","y9888","0.539637921475406","0.217743921926351","index.data$a9888* (-1)+index.data$y9888*(0.217743921926351)","20130101T20151231"
"13","y9888","l9888","0.474546104505396","0.552933168827662","index.data$y9888* (-1)+index.data$l9888*(0.552933168827662)","20130101T20151231"
"2","a9888","m9888","0.462153946401912","0.480889025078487","index.data$a9888* (-1)+index.data$m9888*(0.480889025078487)","20130101T20151231"
"6","a9888","l9888","0.414320101829682","0.153142682258283","index.data$a9888* (-1)+index.data$l9888*(0.153142682258283)","20130101T20151231"
"3","a9888","c9888","0.398568378035222","0.924990241644054","index.data$a9888* (-1)+index.data$c9888*(0.924990241644054)","20130101T20151231"
"26","c9888","v9888","0.347081547289878","0.17307211923445","index.data$c9888* (-1)+index.data$v9888*(0.17307211923445)","20130101T20151231"
"24","c9888","l9888","0.299827988019363","0.0889157304906448","index.data$c9888* (-1)+index.data$l9888*(0.0889157304906448)","20130101T20151231"
"25","c9888","p9888","0.271640468857887","0.140663300889019","index.data$c9888* (-1)+index.data$p9888*(0.140663300889019)","20130101T20151231"
"16","m9888","c9888","0.184067736008168","0.888634221596894","index.data$m9888* (-1)+index.data$c9888*(0.888634221596894)","20130101T20151231"
"23","c9888","TA888","0.176939357158947","0.0569794638525903","index.data$c9888* (-1)+index.data$TA888*(0.0569794638525903)","20130101T20151231"
"17","m9888","SR888","0.151705626614963","-0.417567871734074","index.data$m9888* (-1)+index.data$SR888*(-0.417567871734074)","20130101T20151231"
"10","y9888","c9888","0.135911868659943","1.82229889858417","index.data$y9888* (-1)+index.data$c9888*(1.82229889858417)","20130101T20151231"
"28","SR888","l9888","0.126839810506071","-0.111732180647038","index.data$SR888* (-1)+index.data$l9888*(-0.111732180647038)","20130101T20151231"
"22","c9888","SR888","0.108493543616908","-0.17048806441572","index.data$c9888* (-1)+index.data$SR888*(-0.17048806441572)","20130101T20151231"
"4","a9888","SR888","0.107416372659109","-0.248549564048115","index.data$a9888* (-1)+index.data$SR888*(-0.248549564048115)","20130101T20151231"
"30","SR888","v9888","0.0484611864257259","-0.124944268079453","index.data$SR888* (-1)+index.data$v9888*(-0.124944268079453)","20130101T20151231"
"29","SR888","p9888","0.0341239718725606","-0.0963210755898734","index.data$SR888* (-1)+index.data$p9888*(-0.0963210755898734)","20130101T20151231"
"27","SR888","TA888","0.0244161593426326","-0.0408933583407797","index.data$SR888* (-1)+index.data$TA888*(-0.0408933583407797)","20130101T20151231"
"11","y9888","SR888","0.00033680252430658","0.0469537867031349","index.data$y9888* (-1)+index.data$SR888*(0.0469537867031349)","20130101T20151231"
"14","y9888","p9888","0.9282946457955","1.17068440450354","index.data$y9888* (-1)+index.data$p9888*(1.17068440450354)","20120101T20151231"
"33","TA888","v9888","0.906224621386565","2.09782887022199","index.data$TA888* (-1)+index.data$v9888*(2.09782887022199)","20120101T20151231"
"12","y9888","TA888","0.712650301757672","0.872962095531831","index.data$y9888* (-1)+index.data$TA888*(0.872962095531831)","20120101T20151231"
"15","y9888","v9888","0.675067054192138","1.87233146561194","index.data$y9888* (-1)+index.data$v9888*(1.87233146561194)","20120101T20151231"
"32","TA888","p9888","0.651108033683348","0.948126503685314","index.data$TA888* (-1)+index.data$p9888*(0.948126503685314)","20120101T20151231"
"36","p9888","v9888","0.648514427031973","1.51033118662881","index.data$p9888* (-1)+index.data$v9888*(1.51033118662881)","20120101T20151231"
"2","a9888","m9888","0.552747832444045","0.481287486650556","index.data$a9888* (-1)+index.data$m9888*(0.481287486650556)","20120101T20151231"
"8","a9888","v9888","0.545726612491089","0.308368902287164","index.data$a9888* (-1)+index.data$v9888*(0.308368902287164)","20120101T20151231"
"35","l9888","v9888","0.528660574284684","1.12443287447302","index.data$l9888* (-1)+index.data$v9888*(1.12443287447302)","20120101T20151231"
"21","m9888","v9888","0.507196433646219","0.459229795337198","index.data$m9888* (-1)+index.data$v9888*(0.459229795337198)","20120101T20151231"
"5","a9888","TA888","0.494025685604777","0.1331391083351","index.data$a9888* (-1)+index.data$TA888*(0.1331391083351)","20120101T20151231"
"31","TA888","l9888","0.483339609748621","0.990679668190582","index.data$TA888* (-1)+index.data$l9888*(0.990679668190582)","20120101T20151231"
"9","y9888","m9888","0.482474464853383","2.45473425781266","index.data$y9888* (-1)+index.data$m9888*(2.45473425781266)","20120101T20151231"
"19","m9888","l9888","0.480734167609758","0.289100860719805","index.data$m9888* (-1)+index.data$l9888*(0.289100860719805)","20120101T20151231"
"18","m9888","TA888","0.464190971628839","0.199360070129972","index.data$m9888* (-1)+index.data$TA888*(0.199360070129972)","20120101T20151231"
"1","a9888","y9888","0.404641890865879","0.116522327206882","index.data$a9888* (-1)+index.data$y9888*(0.116522327206882)","20120101T20151231"
"20","m9888","p9888","0.393495496547961","0.215674835872319","index.data$m9888* (-1)+index.data$p9888*(0.215674835872319)","20120101T20151231"
"3","a9888","c9888","0.36802641798002","0.999814534094374","index.data$a9888* (-1)+index.data$c9888*(0.999814534094374)","20120101T20151231"
"29","SR888","p9888","0.363170080490702","0.271178268886745","index.data$SR888* (-1)+index.data$p9888*(0.271178268886745)","20120101T20151231"
"6","a9888","l9888","0.339884911219439","0.15736345357964","index.data$a9888* (-1)+index.data$l9888*(0.15736345357964)","20120101T20151231"
"26","c9888","v9888","0.332961203868489","0.146150355677463","index.data$c9888* (-1)+index.data$v9888*(0.146150355677463)","20120101T20151231"
"11","y9888","SR888","0.32772094345947","1.54578523764924","index.data$y9888* (-1)+index.data$SR888*(1.54578523764924)","20120101T20151231"
"7","a9888","p9888","0.315049256926438","0.124928023508199","index.data$a9888* (-1)+index.data$p9888*(0.124928023508199)","20120101T20151231"
"24","c9888","l9888","0.284505453372471","0.087358121179742","index.data$c9888* (-1)+index.data$l9888*(0.087358121179742)","20120101T20151231"
"23","c9888","TA888","0.191277064358379","0.0502669320652603","index.data$c9888* (-1)+index.data$TA888*(0.0502669320652603)","20120101T20151231"
"25","c9888","p9888","0.168073582193994","0.0553656520520981","index.data$c9888* (-1)+index.data$p9888*(0.0553656520520981)","20120101T20151231"
"34","l9888","p9888","0.167776733689819","0.337752499052698","index.data$l9888* (-1)+index.data$p9888*(0.337752499052698)","20120101T20151231"
"16","m9888","c9888","0.166799159365545","1.03976652412656","index.data$m9888* (-1)+index.data$c9888*(1.03976652412656)","20120101T20151231"
"13","y9888","l9888","0.157776444411204","0.585309117105414","index.data$y9888* (-1)+index.data$l9888*(0.585309117105414)","20120101T20151231"
"27","SR888","TA888","0.127232477537488","0.136602637579738","index.data$SR888* (-1)+index.data$TA888*(0.136602637579738)","20120101T20151231"
"10","y9888","c9888","0.125026587603693","3.18132038428379","index.data$y9888* (-1)+index.data$c9888*(3.18132038428379)","20120101T20151231"
"30","SR888","v9888","0.0971222432706347","0.26300958410396","index.data$SR888* (-1)+index.data$v9888*(0.26300958410396)","20120101T20151231"
"28","SR888","l9888","0.0225192075609127","-0.0818924192839456","index.data$SR888* (-1)+index.data$l9888*(-0.0818924192839456)","20120101T20151231"
"4","a9888","SR888","0.00333801047525348","-0.0285768683425406","index.data$a9888* (-1)+index.data$SR888*(-0.0285768683425406)","20120101T20151231"
"17","m9888","SR888","0.00297972764919418","-0.0417078713809314","index.data$m9888* (-1)+index.data$SR888*(-0.0417078713809314)","20120101T20151231"
"22","c9888","SR888","0.00245856507938131","-0.0148809854606126","index.data$c9888* (-1)+index.data$SR888*(-0.0148809854606126)","20120101T20151231"
"14","y9888","p9888","0.945815559062825","1.05873801112096","index.data$y9888* (-1)+index.data$p9888*(1.05873801112096)","20110101T20151231"
"33","TA888","v9888","0.907573979937092","1.88069198181428","index.data$TA888* (-1)+index.data$v9888*(1.88069198181428)","20110101T20151231"
"36","p9888","v9888","0.811814297938199","1.54737110823064","index.data$p9888* (-1)+index.data$v9888*(1.54737110823064)","20110101T20151231"
"12","y9888","TA888","0.798556359400516","0.846306244957451","index.data$y9888* (-1)+index.data$TA888*(0.846306244957451)","20110101T20151231"
"32","TA888","p9888","0.795026318512751","1.02494667780987","index.data$TA888* (-1)+index.data$p9888*(1.02494667780987)","20110101T20151231"
"15","y9888","v9888","0.780756580490181","1.65199694864867","index.data$y9888* (-1)+index.data$v9888*(1.65199694864867)","20110101T20151231"
"29","SR888","p9888","0.674679009604886","0.428436663281379","index.data$SR888* (-1)+index.data$p9888*(0.428436663281379)","20110101T20151231"
"11","y9888","SR888","0.594941404980398","1.60984605219112","index.data$y9888* (-1)+index.data$SR888*(1.60984605219112)","20110101T20151231"
"2","a9888","m9888","0.555011896395459","0.480473631254345","index.data$a9888* (-1)+index.data$m9888*(0.480473631254345)","20110101T20151231"
"35","l9888","v9888","0.512607121071423","0.814704367367244","index.data$l9888* (-1)+index.data$v9888*(0.814704367367244)","20110101T20151231"
"30","SR888","v9888","0.511020626411917","0.640358796316901","index.data$SR888* (-1)+index.data$v9888*(0.640358796316901)","20110101T20151231"
"31","TA888","l9888","0.502082338905117","1.22929580756554","index.data$TA888* (-1)+index.data$l9888*(1.22929580756554)","20110101T20151231"
"27","SR888","TA888","0.48495443953942","0.315993376458737","index.data$SR888* (-1)+index.data$TA888*(0.315993376458737)","20110101T20151231"
"19","m9888","l9888","0.468643801249899","0.252145076746622","index.data$m9888* (-1)+index.data$l9888*(0.252145076746622)","20110101T20151231"
