"","V1","V2","Rsqure","V4","formula","kurtosis","skewness","period"
"23","c9888","TA888","0.34721102394269","0.586743090184103","c9888* (-1)+TA888*(0.586743090184103)",-1.11367956423704,-0.164412529191433,"2015-01-01T2015-12-31"
"12","y9888","TA888","0.344554452363978","0.314551962969532","y9888* (-1)+TA888*(0.314551962969532)",-0.930629722682786,0.0332301636726361,"2015-01-01T2015-12-31"
"19","m9888","l9888","0.337467813103028","0.112326493333708","m9888* (-1)+l9888*(0.112326493333708)",-0.6906267066175,0.172024984263874,"2015-01-01T2015-12-31"
"32","TA888","p9888","0.330932350654227","0.558173860279919","TA888* (-1)+p9888*(0.558173860279919)",0.0213089297321729,-0.49665286262064,"2015-01-01T2015-12-31"
"21","m9888","v9888","0.323209914671996","0.207752998925788","m9888* (-1)+v9888*(0.207752998925788)",-0.945336216654062,0.387963779377888,"2015-01-01T2015-12-31"
"16","m9888","c9888","0.321898067329325","0.285768485125083","m9888* (-1)+c9888*(0.285768485125083)",-0.926787137200684,0.39555785669508,"2015-01-01T2015-12-31"
"7","a9888","p9888","0.298112406335116","0.432755822965336","a9888* (-1)+p9888*(0.432755822965336)",0.0679267999138693,0.564765028383572,"2015-01-01T2015-12-31"
"4","a9888","SR888","0.295045505981955","-0.505079583900004","a9888* (-1)+SR888*(-0.505079583900004)",-0.600784534566513,0.291173228281869,"2015-01-01T2015-12-31"
"6","a9888","l9888","0.279784660099582","0.166580670652349","a9888* (-1)+l9888*(0.166580670652349)",-0.30941591488737,-0.534995320785817,"2015-01-01T2015-12-31"
"17","m9888","SR888","0.23350201748246","-0.275876048442561","m9888* (-1)+SR888*(-0.275876048442561)",-0.409759384050882,0.710372927393732,"2015-01-01T2015-12-31"
"5","a9888","TA888","0.177898699177366","0.344539801544636","a9888* (-1)+TA888*(0.344539801544636)",-0.853529985932652,0.0120870204899288,"2015-01-01T2015-12-31"
"15","y9888","v9888","0.158058288172848","0.155228224087394","y9888* (-1)+v9888*(0.155228224087394)",-0.7301670897504,0.259996554449569,"2015-01-01T2015-12-31"
"22","c9888","SR888","0.137557302877006","-0.420392883880752","c9888* (-1)+SR888*(-0.420392883880752)",-1.65064945760229,-0.0447579632295115,"2015-01-01T2015-12-31"
"13","y9888","l9888","0.132819427072864","0.0752928803221263","y9888* (-1)+l9888*(0.0752928803221263)",-0.811658690689528,0.0785501200107872,"2015-01-01T2015-12-31"
